trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
947410a7,2026-05-04 11:06:00,QQQ,0.3371,0.864,675.7635,675.23,신호소멸,-0.000789,0,0.0
9e0eb9f0,2026-05-04 11:47:00,QQQ,0.305,0.864,672.1336,671.62,신호소멸,-0.000764,0,0.0
622c7deb,2026-05-04 12:02:00,QQQ,0.2051,0.864,671.4036,669.89,신호소멸,-0.002254,0,0.0
63e4e6c4,2026-05-04 12:17:00,QQQ,0.269,0.864,669.9135,671.59,신호소멸,0.002503,0,1.0
79001d6e,2026-05-04 12:31:00,QQQ,0.453,0.864,671.5036,671.1,신호소멸,-0.000601,0,0.0
b8700af7,2026-05-04 12:50:00,QQQ,0.5775,0.864,671.4386,671.1,신호소멸,-0.000504,0,0.0
46384526,2026-05-04 13:05:00,QQQ,0.2314,0.864,671.8936,672.05,신호소멸,0.000233,0,1.0
12bc8e99,2026-05-04 13:52:00,QQQ,0.214,0.864,673.1137,673.3201,신호소멸,0.000307,0,1.0
621e480d,2026-05-04 14:19:00,QQQ,0.2351,0.864,672.7336,672.425,신호소멸,-0.000459,0,0.0
c154e1da,2026-05-04 14:50:00,QQQ,0.2313,0.864,672.0836,672.04,신호소멸,-6.5e-05,0,0.0
8e095c34,2026-05-04 15:12:00,QQQ,0.2817,0.864,672.6437,672.64,신호소멸,-6e-06,0,0.0
a0a48c1d,2026-05-04 15:29:00,QQQ,0.4887,0.864,672.9836,673.07,신호소멸,0.000128,0,1.0
c45b9947,2026-05-04 15:40:00,QQQ,0.3792,0.864,672.7986,672.54,신호소멸,-0.000384,0,0.0
70b13ca3,2026-05-05 09:59:00,QQQ,0.2672,0.849,680.494,679.34,신호소멸,-0.001696,0,0.0
781e06cf,2026-05-05 10:39:00,QQQ,0.4498,0.849,680.634,680.24,신호소멸,-0.000579,0,0.0
766ec3f9,2026-05-05 11:01:00,QQQ,0.2906,0.849,680.504,681.095,신호소멸,0.000868,0,1.0
29aaafa2,2026-05-05 11:09:00,QQQ,0.3559,0.849,681.0641,681.095,신호소멸,4.5e-05,0,1.0
dd6e2ef1,2026-05-05 11:29:00,QQQ,0.2076,0.849,681.1741,681.13,신호소멸,-6.5e-05,0,0.0
8e45e4d3,2026-05-05 12:11:00,QQQ,0.3189,0.849,681.8241,681.815,신호소멸,-1.3e-05,0,0.0
eac6785a,2026-05-05 12:35:00,QQQ,0.2595,0.849,680.964,680.74,신호소멸,-0.000329,0,0.0
640a57b2,2026-05-05 12:56:00,QQQ,0.2324,0.849,681.5241,681.2787,신호소멸,-0.00036,0,0.0
729ab458,2026-05-05 13:19:00,QQQ,0.272,0.849,681.4741,681.48,신호소멸,9e-06,0,1.0
