date,bucket,n_trades,dollar_vol,outside_nbbo_share,quoted_bps,eff_half_bps,eff_half_bps_wmean,signed_bps
2026-05-04,10:30,63387,1785955312.2474,0.07339044283528173,0.2958492352294579,0.07400774120966323,0.11662419256932202,0.0032576163734682143
2026-05-04,11:00,78036,2422283277.6054,0.13170844225741962,0.4446783122971743,0.14817009927383176,0.1524325906653984,0.00705768644933358
2026-05-04,11:30,65902,1755354099.9262,0.13374404418682284,0.4464186067271224,0.14876082234969065,0.15620435486038214,-0.007851865082163983
2026-05-04,12:00,72742,2049937049.1018999,0.14281982898463064,0.4477645355558283,0.1492515037087641,0.1826891303175366,-0.0049510631366546905
2026-05-04,12:30,28443,1131084161.164,0.08353549203670496,0.2980625931442893,0.07596916545593192,0.1376806871470189,0.003388245149324988
2026-05-04,13:00,33826,1353152953.4927998,0.05877135930940691,0.2974950913307225,0.07441195949175351,0.11028604486856522,0.0027173429514429576
2026-05-04,13:30,31246,843486183.2163,0.01728221212315173,0.2971547433323202,0.07432126108309046,0.0979659555120045,-0.0016045956313701392
2026-05-04,14:00,20696,822069682.731,0.035175879396984966,0.29730493080200693,0.07439645872849686,0.1151668433928364,0.011338346614515842
2026-05-04,14:30,19406,678505969.8547001,0.05889930949190969,0.29768106450721593,0.07445739175749902,0.11808745239911413,-0.0030220949132069587
2026-05-04,15:00,25793,1760768936.8080997,0.05912456868142524,0.29739776951645813,0.1338140727785134,0.1396664815555916,-0.01574080185431514
2026-05-04,15:30,46145,2142367238.7231,0.02880052009968581,0.29724307052064813,0.07435110076797924,0.10277205685274443,0.0003254239094182854
2026-05-05,09:30,71697,3371240212.2848997,0.07593065260750098,0.2943860578760312,0.07370663285982403,0.12917572291438018,0.004368342058989878
2026-05-05,10:00,67367,2071143552.7819996,0.10334436742025022,0.2939015429828334,0.07357214852738653,0.11894189761450039,-0.00269871574753795
2026-05-05,10:30,54179,1256282814.6341,0.09167758725705533,0.2938713137531113,0.07347484588644393,0.11127570526587659,-0.0133894040751702
2026-05-05,11:00,49896,1436291603.5033998,0.06070626903960241,0.29353920216018153,0.07339934380979958,0.09134787757184393,0.011621754019005354
2026-05-05,11:30,46644,1286186527.982,0.050681759711860064,0.29339709830243094,0.07337133968722462,0.09534015084609919,-0.028744332487703927
2026-05-05,12:00,38125,960087314.7344999,0.03294426229508196,0.2933755794165025,0.07338641617429938,0.09150336351247305,-0.006551962232056244
2026-05-05,12:30,20136,706092433.8564999,0.024781485895907784,0.2936146161511444,0.07342952601234282,0.0906295133295845,0.0025929099541034703
2026-05-05,13:00,17437,609356956.1847999,0.025635143660033277,0.1468417999866507,0.07337564662281913,0.07925074363225337,0.0028447950076978825
2026-05-05,13:30,27846,1434262939.4647002,0.019140989729225066,0.146712538786994,0.07330572151149731,0.07438198216060024,0.0157208205851583
2026-05-05,14:00,19937,748027501.8946,0.023774890906354984,0.146602845561099,0.0732530967762651,0.06977844754424227,0.0003986350482938802
2026-05-05,14:30,16942,905477555.1978,0.014343052768268194,0.29300165545908685,0.07326705107439467,0.0778447827968803,-0.007315829213380181
2026-05-05,15:00,19395,768969086.9879999,0.02835782418149002,0.14658565366194276,0.0732713457747412,0.0808055936570316,0.010906774985984101
2026-05-05,15:30,44759,2030947816.9719,0.03228400991979263,0.14683317548753616,0.07335949822096544,0.08252351206828334,0.0047929162043133695
2026-05-06,09:30,94912,3943812361.2222004,0.10526593054619016,0.290570971959637,0.14491283492965795,0.14374940070003075,0.012256089800979636
2026-05-06,10:00,79593,2378913660.3725,0.09615167162941463,0.29045281593978634,0.07263904930005669,0.12164618990404186,-0.010575888230468662
2026-05-06,10:30,78748,1975696316.1352,0.09577386092345197,0.28946073465272665,0.07244329501076438,0.11141387622734865,0.011943100158829014
2026-05-06,11:00,62611,1426547121.0267,0.06187411157783773,0.2889421826706275,0.07228097058880732,0.08272238696794139,0.005466974094466652
2026-05-06,11:30,53961,1164836604.6783,0.0849317099386594,0.28903404821061635,0.07228724057909963,0.10568504921401582,-0.01882456028904748
2026-05-06,12:00,36510,1067438345.8047001,0.04428923582580113,0.28878781315402224,0.07223293677444474,0.10487788849972034,-0.024158578642779004
2026-05-06,12:30,23730,994627637.3651999,0.04209860935524656,0.2891343318102962,0.07234895347232222,0.11367896460020399,-0.005232561535329844
2026-05-06,13:00,18587,653856873.4705,0.019637380965190743,0.2888628912284156,0.07225485733271848,0.09547152798110388,-0.01672761813381851
2026-05-06,13:30,25334,898276306.5049,0.008565564064103581,0.28867943592176065,0.07218392463991703,0.0890581735628634,-0.0033500335587740666
2026-05-06,14:00,23769,1055774800.849,0.017375573225629992,0.28835894921972677,0.07213601967864057,0.10228221820868558,0.0175180258512084
2026-05-06,14:30,24933,1085355762.3737001,0.015481490394256614,0.28815952511447857,0.07207674732048136,0.1064888325705573,-0.015350828270444488
2026-05-06,15:00,30508,1503918169.8391,0.012324636161006985,0.14415349464096272,0.07197817621690555,0.07858213791386934,0.004510679374156446
2026-05-06,15:30,73371,3929321203.8251996,0.023783238609259794,0.14392734547587283,0.07190158111570334,0.0871874128942501,-0.00613265326594969
2026-05-07,09:30,74840,3030758356.6124,0.09997327632282205,0.43017845236092994,0.14199655765780722,0.13206820418343526,-0.00786553323608478
2026-05-07,10:00,75137,2709425340.5910006,0.08946324713523301,0.2861557832081184,0.07159784920054489,0.11003136268711954,0.0007955833550506518
2026-05-07,10:30,67610,1623966950.7852,0.0652714095547996,0.28576735679457343,0.07148218306580581,0.1068016192065655,0.00978668576165098
2026-05-07,11:00,62234,1474569835.5673,0.09419288491821187,0.286045280969343,0.07153434005988071,0.10910600320202418,-0.018524014103926147
2026-05-07,11:30,56018,1364045175.8621001,0.0871505587489736,0.2864057510288482,0.0716974368165686,0.11585423907432046,-0.0018057471626323866
2026-05-07,12:00,70787,2495083151.5659,0.08627290321669234,0.2873563218388191,0.07199994239998059,0.10722983544513702,-0.007934587423917817
2026-05-07,12:30,35215,1635501680.1692,0.0453215959108334,0.28742239595283126,0.07194503399396313,0.10867661269661119,-0.004551368664940244
2026-05-07,13:00,45400,2101346687.6360002,0.057136563876652,0.2880640654478937,0.07219538960235432,0.1263869385195789,-0.00337241127562567
2026-05-07,13:30,48257,1713984495.2529998,0.05680004973371744,0.28836726454950545,0.14259787399556373,0.13173804657793967,-0.006218853244943532
2026-05-07,14:00,37037,1638144884.476,0.05262305262305267,0.28781119585525705,0.07203105979291723,0.11955400372553057,0.0022965311339111245
2026-05-07,14:30,41070,1798369097.1605,0.05607499391283177,0.2884712466298697,0.07216933813493433,0.12344285446642209,-0.011273306234082662
2026-05-07,15:00,36000,1632171533.6467,0.05094444444444446,0.2883714223917787,0.07217663065046233,0.12366064611094939,-0.01819140876052946
2026-05-07,15:30,70304,4223123142.6591,0.1025972917614929,0.28790234352645094,0.14252807371171908,0.1329290590669267,-0.008344030119574901
2026-05-08,09:30,78749,3400983847.0115,0.07102312410316325,0.42616965814213337,0.14204545454532536,0.15123580914257573,0.009277364537180107
2026-05-08,10:00,77296,2505889959.5625,0.05979610846615613,0.2837684449486636,0.14154882726783732,0.13270297776651094,0.014688716703653903
2026-05-08,10:30,66022,2256894385.2980003,0.07635333676653233,0.2836155307878201,0.0709325502379142,0.11206071752194595,0.018369290752968483
2026-05-08,11:00,60603,1669817283.7427,0.07054106232364732,0.2830055186073554,0.07077591637111284,0.11052189583534953,0.006880176034731607
2026-05-08,11:30,59411,2680830999.6530004,0.07836932554577436,0.28278143822613766,0.07070185733772796,0.11104673532458086,0.014305063717994953
2026-05-08,12:00,39694,1179625091.9241,0.05509648813422685,0.2826255917470757,0.07065889418824169,0.10906489555775342,0.013896220451211213
2026-05-08,12:30,30713,1112556783.5465999,0.02803373164458045,0.2823064436443194,0.0706139886310836,0.10061664829561066,0.004983992739369461
2026-05-08,13:00,33580,1462699135.7438998,0.0251340083382966,0.2817853922450097,0.07050943063628348,0.11144039717287041,0.011847643699914067
2026-05-08,13:30,34034,1543868700.5603,0.01821707704060649,0.4223656701179486,0.07052335380854959,0.11443115869453814,0.010127199661434357
2026-05-08,14:00,25723,977454295.5623,0.06713835866734053,0.28182509934309125,0.07048756246953812,0.12374576134641545,0.011475329124423624
2026-05-08,14:30,24390,1549077067.8427,0.025338253382533815,0.28187673530339535,0.07051937519827162,0.09760843861407863,-0.011384958404986037
2026-05-08,15:00,30288,1361387922.1474001,0.04734548335974642,0.2816861734339208,0.07045180744105582,0.09841309755545569,0.009652378207241448
2026-05-08,15:30,79488,4806152541.673201,0.029350342190016088,0.1407945033824599,0.07034278036867288,0.08131034269350255,0.002820801206921632
2026-05-11,09:30,99725,4086103151.9844003,0.149791927801454,0.4213571915134829,0.1403587569827205,0.14003907062456378,0.0008363908058767974
2026-05-11,10:00,66813,2075604559.9189,0.07562899435738557,0.28124252949505446,0.1264648849171592,0.11876799441203176,-0.015312934772060647
2026-05-11,10:30,76354,2219658398.5894003,0.10883516253241476,0.4213216861290047,0.14041196871608566,0.13551401826858578,0.012590131722253166
2026-05-11,11:00,57710,1586495609.9239998,0.07825333564373593,0.2808278805933261,0.07021535047985807,0.10919159456717016,-0.003555061534701045
2026-05-11,11:30,59888,1385371962.9996,0.07928132514026187,0.2803830031836859,0.0701277025462731,0.1085645760978766,-0.0026750787626683933
2026-05-11,12:00,52493,1122428895.8837001,0.04865410626178723,0.2799395330621955,0.06999125109354964,0.08184279115126439,0.008541168920891259
2026-05-11,12:30,29109,1211250420.0544,0.0531450754062317,0.280524580966152,0.0701582067561715,0.10836688954710624,0.008660733675057418
2026-05-11,13:00,21617,1024785996.6136,0.03677661100060137,0.280524580966152,0.07018184115195267,0.09511402921727427,-0.0076774434835277724
2026-05-11,13:30,25930,1014691304.5091,0.04138064018511378,0.28002576236988336,0.07002261730532597,0.08479052559237646,-0.0019766394873868445
2026-05-11,14:00,34259,1137723316.5488,0.03753758136548058,0.2800336040322292,0.07000693068607426,0.08082116458413577,-0.0017526051382330092
2026-05-11,14:30,28975,1345387102.3389,0.034374460742019,0.14015318743373775,0.07004910442213626,0.07770479839274214,-0.003205158485395735
2026-05-11,15:00,32592,1723067503.0057,0.04200417280314184,0.28043411200672336,0.0701769160051854,0.08774319826909917,-0.013494472222799817
2026-05-11,15:30,57239,2538388191.1329,0.057111410052586575,0.280418384229015,0.07017790097891789,0.10119170868426186,-0.0030608287700443593
2026-05-12,09:30,92160,3553668990.0597,0.0986653645833333,0.42346265412398143,0.14107556006984517,0.15209599741697105,0.010148270674049515
2026-05-12,10:00,74242,2122762068.2784,0.10741898116968829,0.42507669091926686,0.14161497719985988,0.15904094196093435,-0.0037062016041719457
2026-05-12,10:30,87620,2388614101.1847,0.12446929924674732,0.42621204048975625,0.14183592420275312,0.13951405195480102,-0.0048461354161963574
2026-05-12,11:00,103870,3222256164.0585003,0.10103013382112258,0.28561636010484703,0.07144030805054334,0.11268925679614472,-0.0028388990736580495
2026-05-12,11:30,87046,2169975769.8845,0.10075132688463573,0.28584495769631113,0.07147503019813525,0.11075624653663657,-0.013336435597269129
2026-05-12,12:00,56969,1625147666.622,0.083606873913883,0.4284520740663159,0.07154815906742898,0.12105100026245241,0.004844579487057965
2026-05-12,12:30,50072,1712349907.3657,0.04026202268733026,0.2869316959095277,0.07172211981890814,0.1084742377279204,-0.009468810536471665
2026-05-12,13:00,47630,2201934760.5245,0.03793827419693474,0.28629095749984695,0.07160912873166558,0.11514919117436222,0.007525454798973989
2026-05-12,13:30,33848,1269615772.5835001,0.03577759394942093,0.42810357252392334,0.14264317808987811,0.12945359300658857,0.01475813776286404
2026-05-12,14:00,34921,1493683670.5124998,0.062197531571260845,0.2852334635913103,0.14224953413264635,0.12612396154705427,0.02075659544112224
2026-05-12,14:30,30839,1380327985.6654,0.03735529686436001,0.2846286307937127,0.07121137672948155,0.10411682792065056,-0.00502901531667054
2026-05-12,15:00,29550,1276901212.6472,0.03204737732656515,0.2842968627838606,0.07113539199151286,0.10696782428579583,0.00417881552429703
2026-05-12,15:30,76223,3764526204.5505,0.0424412578880391,0.28276944393363135,0.07082403767832363,0.09589400959711235,0.01153917413789698
2026-05-13,09:30,83418,3823504356.2563,0.08356709583063604,0.5638965249871518,0.21166260979978635,0.21352559165878218,-0.041651148803664245
2026-05-13,10:00,63073,2154101697.0943003,0.09810854089705578,0.42436716247019035,0.14148073739747466,0.16878265950601135,0.009675295259183614
