signal_time,symbol,signal_score,obi_raw,tfi_raw,is_signal,ret_1s,ret_5s,ret_10s,ret_30s,ret_60s
2025-04-03 11:29:00-04:00,QQQ,0.155077,0.155077,0.366003,False,-0.00011376,-0.00038507,-0.00072614,-0.00052832,-0.00101219
2025-04-03 11:30:00-04:00,QQQ,0.219449,0.219449,0.16137,False,-0.00028634,0.0004185,0.00017621,0.00072687,0.00110132
2025-04-03 11:31:00-04:00,QQQ,-0.202855,-0.202855,-0.019237,False,-0.00019824,4.4e-05,-4.224e-05,0.00033003,-0.0006484
2025-04-03 11:32:00-04:00,QQQ,-0.188794,-0.188794,-0.01784,False,7.64e-05,-0.00020982,0.00030757,0.00089101,0.00119924
2025-04-03 11:33:00-04:00,QQQ,0.372431,0.372431,-0.113671,True,6.597e-05,-0.00053876,-0.00048378,-0.00059373,0.00046179
2025-04-03 11:34:00-04:00,QQQ,-0.135738,-0.135738,-0.038785,False,0.0001099,0.00048356,0.00049455,0.0009891,0.00057148
2025-04-03 11:35:00-04:00,QQQ,0.163094,0.163094,-0.015866,False,0.00030754,-2.197e-05,-0.0001318,-0.00050547,-0.0010105
2025-04-03 11:36:00-04:00,QQQ,-0.470307,-0.470307,0.051616,False,-3.52e-06,-4.398e-05,-0.00061571,-5.497e-05,0.00078063
2025-04-03 11:37:00-04:00,QQQ,0.120413,0.120413,0.068983,False,7.69e-05,0.00047241,0.00053833,0.00029663,0.00121947
2025-04-03 11:38:00-04:00,QQQ,0.021014,0.021014,0.140965,False,7.176e-05,0.00021946,-5.486e-05,-6.869e-05,0.00035113
2025-04-03 11:39:00-04:00,QQQ,-0.453466,-0.453466,0.158034,False,-6.581e-05,-0.00037295,-0.00094333,-0.00048264,8.775e-05
2025-04-03 11:40:00-04:00,QQQ,-0.161442,-0.161442,0.008581,False,4.387e-05,-8.774e-05,0.00017549,0.00063615,0.00035098
2025-04-03 11:41:00-04:00,QQQ,0.20589,0.20589,-0.187048,False,0.00035085,0.00087714,0.00094292,0.00024121,0.0008995
2025-04-03 11:42:00-04:00,QQQ,-0.124018,-0.124018,-0.260695,False,0.00028437,0.000613,0.00026247,0.00015292,-0.00010998
2025-04-03 11:43:00-04:00,QQQ,-0.234639,-0.234639,-0.108245,False,8.764e-05,8.764e-05,0.00012051,-0.00038344,-0.00052718
2025-04-03 11:44:00-04:00,QQQ,0.426119,0.426119,-0.106211,True,4.516e-05,2.85e-06,-0.00041521,-0.00057963,2.324e-05
2025-04-03 11:45:00-04:00,QQQ,0.039196,0.039196,0.017474,False,-8.769e-05,0.00016442,0.00063574,-0.00089859,-0.00155647
2025-04-03 11:46:00-04:00,QQQ,-0.445009,-0.445009,0.302177,False,0.00015369,0.00019585,6.587e-05,0.00019475,-0.00039873
2025-04-03 11:47:00-04:00,QQQ,-0.497799,-0.497799,0.443324,False,6.941e-05,-0.00010631,-6.26e-05,-8.61e-05,-0.00058954
2025-04-03 11:48:00-04:00,QQQ,0.220315,0.220315,0.303924,False,-4.396e-05,0.00041758,0.00043956,0.00050549,0.00142703
2025-04-03 11:49:00-04:00,QQQ,0.137336,0.137336,0.275876,False,5.333e-05,0.00014858,0.00047339,0.00039394,-0.00038253
2025-04-03 11:50:00-04:00,QQQ,-0.333185,-0.333185,0.19616,False,-0.00016466,-0.00021626,-0.00069159,-0.00081958,-0.00156979
2025-04-03 11:51:00-04:00,QQQ,-0.204108,-0.204108,0.244006,False,2.199e-05,0.0,2.199e-05,-0.00050576,-0.00054974
2025-04-03 11:52:00-04:00,QQQ,0.084445,0.084445,0.01052,False,-0.00012101,-8.801e-05,9.901e-05,-6.601e-05,9.901e-05
